# country|broadcaster|category|website
United States|CNN|unknown|
United States|Fox News|unknown|
United States|MSNBC|unknown|
United States|ABC News|unknown|
United States|NBC News|unknown|
United States|CBS News|unknown|
United States|Bloomberg|unknown|
United States|CNBC|unknown|
Canada|CBC News|unknown|
Canada|CTV News|unknown|
Canada|Global News|unknown|
Canada|CityNews|unknown|
Canada|CP24|unknown|
Mexico|Televisa|unknown|
Mexico|TV Azteca|unknown|
Mexico|Milenio|unknown|
Mexico|Excelsior TV|unknown|
Mexico|Foro TV|unknown|
Belize|Channel 5 Belize|unknown|
Belize|Love FM|unknown|
Belize|Plus TV|unknown|
Costa Rica|Teletica|unknown|
Costa Rica|Repretel|unknown|
Costa Rica|Canal 7|unknown|
El Salvador|Canal 4|unknown|
El Salvador|Canal 12|unknown|
El Salvador|TVX|unknown|
Guatemala|Canal Antigua|unknown|
Guatemala|Guatevision|unknown|
Guatemala|Canal 3|unknown|
Honduras|Canal 5|unknown|
Honduras|Canal 6|unknown|
Honduras|Canal 11|unknown|
Nicaragua|Canal 4|unknown|
Nicaragua|Canal 6|unknown|
Nicaragua|Canal 10|unknown|
Panama|TVN|unknown|
Panama|RPC|unknown|
Panama|Telemetro|unknown|
Antigua and Barbuda|ABS TV|unknown|
Antigua and Barbuda|Observer Radio|unknown|
Bahamas|ZNS Bahamas|unknown|
Bahamas|Our News|unknown|
Barbados|CBC TV8|unknown|
Barbados|Nation News|unknown|
Cuba|CubaDebate|unknown|
Cuba|Cubavision|unknown|
Cuba|Tele Rebelde|unknown|
Dominica|DBS Radio|unknown|
Dominica|Kairi FM|unknown|
Dominican Republic|Color Vision|unknown|
Dominican Republic|Teleantillas|unknown|
Dominican Republic|CDN|unknown|
Grenada|GBN|unknown|
Grenada|GIS|unknown|
Haiti|Tele Haiti|unknown|
Haiti|Canal+ Haiti|unknown|
Jamaica|TVJ|unknown|
Jamaica|CVM TV|unknown|
Jamaica|RJR|unknown|
Saint Kitts and Nevis|ZIZ|unknown|
Saint Kitts and Nevis|WINN FM|unknown|
Saint Lucia|HTS|unknown|
Saint Lucia|DBS|unknown|
Saint Vincent and the Grenadines|NBC|unknown|
Saint Vincent and the Grenadines|WE FM|unknown|
Trinidad and Tobago|CNC3|unknown|
Trinidad and Tobago|TV6|unknown|
Trinidad and Tobago|C News|unknown|
Argentina|TN|unknown|
Argentina|C5N|unknown|
Argentina|América TV|unknown|
Argentina|Crónica TV|unknown|
Bolivia|ATB|unknown|
Bolivia|Red Uno|unknown|
Bolivia|Bolivia TV|unknown|
Brazil|Globo News|unknown|
Brazil|Record News|unknown|
Brazil|Band News|unknown|
Brazil|SBT|unknown|
Chile|TVN|unknown|
Chile|Chilevisión|unknown|
Chile|Mega|unknown|
Chile|CNN Chile|unknown|
Colombia|Caracol|unknown|
Colombia|RCN|unknown|
Colombia|Canal 1|unknown|
Ecuador|Ecuavisa|unknown|
Ecuador|Teleamazonas|unknown|
Ecuador|TC Televisión|unknown|
Guyana|NCN|unknown|
Guyana|GTV|unknown|
Guyana|News Source|unknown|
Paraguay|Telefuturo|unknown|
Paraguay|SNT|unknown|
Paraguay|Paraguay TV|unknown|
Peru|América TV|unknown|
Peru|Panamericana|unknown|
Peru|Latina|unknown|
Suriname|STVS|unknown|
Suriname|ABC|unknown|
Suriname|RBN|unknown|
Uruguay|Teledoce|unknown|
Uruguay|Canal 10|unknown|
Uruguay|Montecarlo|unknown|
Venezuela|Telesur|unknown|
Venezuela|Venevisión|unknown|
Venezuela|Globovisión|unknown|
United Kingdom|BBC News|unknown|
United Kingdom|Sky News|unknown|
United Kingdom|ITV News|unknown|
United Kingdom|Channel 4 News|unknown|
United Kingdom|GB News|unknown|
France|France 24|unknown|
France|BFM TV|unknown|
France|TF1|unknown|
France|LCI|unknown|
France|France Info|unknown|
Germany|DW News|unknown|
Germany|ARD|unknown|
Germany|ZDF|unknown|
Germany|n-tv|unknown|
Germany|Phoenix|unknown|
Italy|RAI News|unknown|
Italy|Sky TG24|unknown|
Italy|Mediaset|unknown|
Italy|La7|unknown|
Italy|Tgcom24|unknown|
Spain|RTVE|unknown|
Spain|Antena 3|unknown|
Spain|Telecinco|unknown|
Spain|La Sexta|unknown|
Spain|Cuatro|unknown|
Russia|Russia Today|unknown|
Russia|Rossiya 24|unknown|
Russia|NTV|unknown|
Netherlands|NOS|unknown|
Netherlands|RTL Nieuws|unknown|
Netherlands|SBS6|unknown|
Sweden|SVT|unknown|
Sweden|TV4|unknown|
Sweden|Aftonbladet TV|unknown|
Norway|NRK|unknown|
Norway|TV2|unknown|
Norway|TVNorge|unknown|
Poland|TVP Info|unknown|
Poland|Polsat News|unknown|
Poland|TVN24|unknown|
Ukraine|1+1|unknown|
Ukraine|Inter|unknown|
Ukraine|Ukraina|unknown|
Greece|ERT|unknown|
Greece|Mega|unknown|
Greece|ANT1|unknown|
Portugal|RTP|unknown|
Portugal|SIC|unknown|
Portugal|TVI|unknown|
Ireland|RTÉ|unknown|
Ireland|Virgin Media|unknown|
Ireland|TG4|unknown|
Switzerland|SRF|unknown|
Switzerland|RTS|unknown|
Switzerland|RSI|unknown|
Austria|ORF|unknown|
Austria|ATV|unknown|
Austria|Puls 4|unknown|
Belgium|VRT|unknown|
Belgium|RTBF|unknown|
Belgium|RTL|unknown|
Denmark|DR|unknown|
Denmark|TV2|unknown|
Denmark|TV3|unknown|
Finland|Yle|unknown|
Finland|MTV|unknown|
Finland|Nelonen|unknown|
South Africa|SABC News|unknown|
South Africa|eNCA|unknown|
South Africa|Newzroom Afrika|unknown|
South Africa|eTV|unknown|
Nigeria|NTA|unknown|
Nigeria|Channels TV|unknown|
Nigeria|TVC News|unknown|
Nigeria|AIT|unknown|
Egypt|Egypt Today|unknown|
Egypt|Al Masry Al Youm|unknown|
Egypt|ON TV|unknown|
Egypt|CBC Extra|unknown|
Kenya|KBC Kenya|unknown|
Kenya|NTV Kenya|unknown|
Kenya|Citizen TV|unknown|
Kenya|K24|unknown|
Ghana|GTV|unknown|
Ghana|TV3|unknown|
Ghana|Metro TV|unknown|
Ghana|Joy News|unknown|
Morocco|2M|unknown|
Morocco|Al Aoula|unknown|
Morocco|Medi1 TV|unknown|
Algeria|ENTV|unknown|
Algeria|El Bilad TV|unknown|
Algeria|Echorouk TV|unknown|
Tunisia|Watania 1|unknown|
Tunisia|Hannibal TV|unknown|
Tunisia|Nessma TV|unknown|
Ethiopia|ETV|unknown|
Ethiopia|Fana TV|unknown|
Ethiopia|ESAT|unknown|
Uganda|NTV Uganda|unknown|
Uganda|UBC|unknown|
Uganda|Bukedde TV|unknown|
Tanzania|ITV|unknown|
Tanzania|TBC|unknown|
Tanzania|Clouds TV|unknown|
Zimbabwe|ZBC|unknown|
Zimbabwe|ZTN|unknown|
Zimbabwe|3K TV|unknown|
Zambia|ZNBC|unknown|
Zambia|Muvi TV|unknown|
Zambia|Prime TV|unknown|
Senegal|RTS|unknown|
Senegal|2STV|unknown|
Senegal|TFM|unknown|
Ivory Coast|RTI|unknown|
Ivory Coast|NCI|unknown|
Ivory Coast|Life TV|unknown|
Cameroon|CRTV|unknown|
Cameroon|Canal 2|unknown|
Cameroon|STV|unknown|
DR Congo|RTNC|unknown|
DR Congo|Digital Congo|unknown|
DR Congo|Canal Kin TV|unknown|
China|CGTN|unknown|
China|CCTV|unknown|
China|Phoenix TV|unknown|
China|Dragon TV|unknown|
China|Hunan TV|unknown|
India|NDTV India|unknown|
India|Republic TV|unknown|
India|Times Now|unknown|
India|India Today|unknown|
India|Aaj Tak|unknown|
Japan|NHK World|unknown|
Japan|Fuji TV|unknown|
Japan|TBS|unknown|
Japan|TV Asahi|unknown|
Japan|NTV|unknown|
South Korea|KBS World|unknown|
South Korea|MBC|unknown|
South Korea|SBS|unknown|
South Korea|JTBC|unknown|
South Korea|TV Chosun|unknown|
Indonesia|TVRI|unknown|
Indonesia|RCTI|unknown|
Indonesia|SCTV|unknown|
Indonesia|Metro TV|unknown|
Indonesia|TV One|unknown|
Philippines|ABS-CBN|unknown|
Philippines|GMA News|unknown|
Philippines|TV5|unknown|
Philippines|CNN Philippines|unknown|
Thailand|Thai PBS|unknown|
Thailand|Channel 3|unknown|
Thailand|Channel 7|unknown|
Thailand|Workpoint|unknown|
Vietnam|VTV|unknown|
Vietnam|HTV|unknown|
Vietnam|VTC|unknown|
Vietnam|ANTV|unknown|
Malaysia|RTM|unknown|
Malaysia|TV3|unknown|
Malaysia|Astro Awani|unknown|
Malaysia|Bernama TV|unknown|
Singapore|Channel NewsAsia|unknown|
Singapore|Mediacorp|unknown|
Singapore|CNA|unknown|
Pakistan|Geo News|unknown|
Pakistan|ARY News|unknown|
Pakistan|Dawn News|unknown|
Pakistan|Express News|unknown|
Bangladesh|Channel 24|unknown|
Bangladesh|ATN News|unknown|
Bangladesh|NTV|unknown|
Bangladesh|RTV|unknown|
Sri Lanka|Sirasa TV|unknown|
Sri Lanka|Hiru TV|unknown|
Sri Lanka|Derana|unknown|
Sri Lanka|ITN|unknown|
Nepal|NTV Nepal|unknown|
Nepal|Kantipur TV|unknown|
Nepal|News 24|unknown|
Myanmar|MRTV|unknown|
Myanmar|Sky Net|unknown|
Myanmar|Channel 7|unknown|
Cambodia|TVK|unknown|
Cambodia|CTN|unknown|
Cambodia|Bayon TV|unknown|
Laos|Lao National TV|unknown|
Laos|Lao Star Channel|unknown|
Mongolia|MNB|unknown|
Mongolia|TV5|unknown|
Mongolia|TV9|unknown|
Saudi Arabia|Al Arabiya|unknown|
Saudi Arabia|Saudi TV|unknown|
Saudi Arabia|MBC|unknown|
Saudi Arabia|Rotana|unknown|
UAE|Sky News Arabia|unknown|
UAE|Dubai TV|unknown|
UAE|Abu Dhabi TV|unknown|
UAE|Al Arabiya|unknown|
Qatar|Al Jazeera|unknown|
Qatar|Qatar TV|unknown|
Qatar|Al Rayyan TV|unknown|
Turkey|TRT World|unknown|
Turkey|CNN Türk|unknown|
Turkey|NTV|unknown|
Turkey|Habertürk|unknown|
Iran|Press TV|unknown|
Iran|IRIB|unknown|
Iran|Hispan TV|unknown|
Iraq|Al Iraqiya|unknown|
Iraq|Al Sumaria|unknown|
Iraq|Rudaw|unknown|
Israel|i24 News|unknown|
Israel|Channel 12|unknown|
Israel|Channel 13|unknown|
Israel|Kan 11|unknown|
